Iso3_code;Country;Region;Subregion;Category;Year;Unit of measurement;VALUE
ARM;Armenia;Asia;Western Asia;Corruption;2013;Counts;782
AUT;Austria;Europe;Western Europe;Corruption;2013;Counts;3439
CHE;Switzerland;Europe;Western Europe;Corruption;2013;Counts;4884
CHL;Chile;Americas;Latin America and the Caribbean;Corruption;2013;Counts;339
COL;Colombia;Americas;Latin America and the Caribbean;Corruption;2013;Counts;23483
CYP;Cyprus;Asia;Western Asia;Corruption;2013;Counts;26
DEU;Germany;Europe;Western Europe;Corruption;2013;Counts;7030
DNK;Denmark;Europe;Northern Europe;Corruption;2013;Counts;1504
DOM;Dominican Republic;Americas;Latin America and the Caribbean;Corruption;2013;Counts;30
FIN;Finland;Europe;Northern Europe;Corruption;2013;Counts;3995
GBR_S;United Kingdom (Scotland);Europe;Northern Europe;Corruption;2013;Counts;260
GTM;Guatemala;Americas;Latin America and the Caribbean;Corruption;2013;Counts;3486
HND;Honduras;Americas;Latin America and the Caribbean;Corruption;2013;Counts;1359
HUN;Hungary;Europe;Eastern Europe;Corruption;2013;Counts;404
KEN;Kenya;Africa;Sub-Saharan Africa;Corruption;2013;Counts;9
LTU;Lithuania;Europe;Northern Europe;Corruption;2013;Counts;1724
NLD;Netherlands;Europe;Western Europe;Corruption;2013;Counts;8887
NOR;Norway;Europe;Northern Europe;Corruption;2013;Counts;47
POL;Poland;Europe;Eastern Europe;Corruption;2013;Counts;11709
PRT;Portugal;Europe;Southern Europe;Corruption;2013;Counts;140
RUS;Russian Federation;Europe;Eastern Europe;Corruption;2013;Counts;42506
SRB;Serbia;Europe;Southern Europe;Corruption;2013;Counts;2321
SVK;Slovakia;Europe;Eastern Europe;Corruption;2013;Counts;123
SVN;Slovenia;Europe;Southern Europe;Corruption;2013;Counts;1996
SWE;Sweden;Europe;Northern Europe;Corruption;2013;Counts;2872
TUR;Türkiye;Asia;Western Asia;Corruption;2013;Counts;7480
USA;United States of America;Americas;Northern America;Corruption;2013;Counts;15700
XKX;Kosovo under UNSCR 1244;Europe;Southern Europe;Corruption;2013;Counts;273
ARM;Armenia;Asia;Western Asia;Corruption;2014;Counts;599
